"65","70","75","95","100","105","110","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","152.5","155","160","165","170","175","180","Date"
NA,NA,NA,NA,NA,NA,22.04,NA,NA,NA,NA,15.75,15.42,15.55,15.45,12.15,11.39,10.27,9.47,9.95,7.81,7.6,7.2,6.55,5.9,5.15,4.25,4.11,3.17,3.07,2.38,2.24,1.65,1.67,1.26,1.01,0.86,0.73,0.75,0.62,0.48,0.41,0.43,NA,NA,0.24,NA,0.1,NA,0.04,0.04,NA,NA,2023-08-10
NA,NA,NA,NA,NA,NA,22.04,NA,NA,NA,NA,15.75,15.42,13.78,15.45,12.31,11.39,10.97,9.47,8.93,7.55,7.6,7.2,5.6,5,4.85,3.75,3.55,2.83,3.07,2.2,1.82,1.65,1.67,1.13,0.85,0.8,0.67,0.55,0.45,0.4,0.41,0.3,NA,NA,0.19,NA,0.09,NA,0.04,0.04,NA,NA,2023-08-11
NA,NA,NA,NA,29.9,27.49,20.11,NA,NA,NA,18.05,15.75,15.42,12.73,15.45,11,10.1,10.97,9.47,7.79,6.6,6.35,5.95,5.35,4.4,3.8,3.56,3.1,2.59,2.14,1.87,1.49,1.18,1.05,1.13,0.71,0.6,0.48,0.42,0.45,0.28,0.23,0.3,NA,NA,0.12,NA,0.09,0.04,0.04,0.04,NA,NA,2023-08-14
NA,NA,NA,NA,31.2,27.49,22,NA,NA,NA,17.5,15.65,15.5,14.55,13.4,12.7,11.95,10.65,10.2,8.55,8.5,7.15,6.4,5.85,5.3,4.8,4.07,3.25,3.1,2.14,2.15,1.61,1.43,1.17,0.95,0.83,0.58,0.52,0.4,0.36,0.27,0.21,0.3,NA,NA,0.1,NA,0.06,0.03,0.04,0.04,NA,NA,2023-08-15
NA,NA,NA,NA,31.2,26.55,22,NA,NA,NA,16.1,15.1,14.9,13.15,13.15,12.1,11.01,10.5,9.6,7.89,7.65,7.15,6.2,5.05,5.4,3.95,3.3,2.88,2.53,2.16,1.64,1.32,1.14,1.08,0.78,0.63,0.59,0.39,0.39,0.35,0.24,0.21,0.3,NA,NA,0.11,NA,0.06,0.03,0.03,0.04,NA,NA,2023-08-16
NA,NA,NA,NA,31,25.95,21,NA,NA,NA,15.25,15.55,14.9,13.15,12.7,11.95,9.35,8.64,9.6,7.45,6.7,6.59,5.95,5.18,3.77,4,3.3,2.93,2.5,2,1.72,1.36,0.81,0.9,0.72,0.62,0.4,0.32,0.32,0.35,0.18,0.21,0.3,NA,NA,0.08,NA,0.04,0.03,0.03,0.04,NA,NA,2023-08-17
NA,NA,NA,NA,31,25.9,21.15,NA,NA,NA,16.55,15.55,14.9,13.6,12.7,12.1,10.53,8.64,9.6,8.75,6.95,7.05,6.43,5.15,4.63,4.18,4.48,3,2.69,2.13,1.81,1.41,1.17,0.92,1.03,0.74,0.51,0.4,0.42,0.36,0.31,0.24,0.16,NA,NA,0.12,NA,0.06,0.03,0.03,0.01,NA,NA,2023-08-18
NA,NA,NA,NA,28.37,23.34,18.25,NA,NA,NA,14.1,15.55,14.9,11.38,9.85,9.65,8.65,8.64,7.3,6.02,5.58,5.2,4.1,3.65,2.94,2.69,2.32,1.93,1.67,1.34,1,0.8,0.69,0.52,0.43,0.38,0.28,0.23,0.18,0.16,0.13,0.1,0.11,NA,NA,0.06,NA,0.04,0.03,0.02,0.01,0.01,0.01,2023-08-21
NA,NA,NA,NA,28.37,25.15,19.85,NA,NA,NA,15.15,14.2,13.45,12.45,11.2,9.85,7.87,7.95,7.3,7.25,6.65,5.9,4.97,4.14,3.75,3.34,2.61,2.2,1.94,1.57,1.27,1.03,0.74,0.56,0.43,0.3,0.24,0.19,0.15,0.13,0.1,0.09,0.1,NA,NA,0.04,NA,0.02,0.01,0.02,0.01,0.01,0.01,2023-08-22
NA,NA,NA,NA,30.35,24.8,20.25,NA,NA,NA,15.4,14,13.05,12.35,12.45,10.25,9.5,8.6,8.05,7.86,6.07,5.55,5.7,4.23,4.25,3.05,2.6,2.15,1.87,1.35,1.06,0.84,0.65,0.52,0.4,0.34,0.25,0.19,0.16,0.13,0.1,0.09,0.07,NA,NA,0.04,NA,0.02,0.01,0.02,0.01,0.01,0.01,2023-08-23
NA,NA,NA,NA,30.35,24.8,22.75,NA,NA,NA,17.85,16.55,16.5,14.8,14,13.7,12.05,12.29,10.2,7.86,9.2,8.15,7.4,7.15,6.3,5.15,4.51,3.9,3.5,2.98,2.3,1.94,1.61,1.35,1.04,0.85,0.69,0.53,0.43,0.33,0.24,0.18,0.12,NA,NA,0.07,NA,0.03,0.01,0.02,0.01,0.01,0.01,2023-08-24
NA,NA,NA,38.88,30.35,24.8,20.85,NA,17.85,17.95,16,14.85,14.7,13.65,12.75,11.85,10.85,9.9,9.06,7.65,7.25,6.55,5.5,4.9,4.34,3.35,2.69,2.64,1.78,1.67,1.19,0.94,0.73,0.63,0.52,0.33,0.29,0.24,0.2,0.15,0.11,0.08,0.08,0.06,NA,0.04,NA,0.01,0.01,0.02,0.01,0.01,0.01,2023-08-25
NA,NA,NA,38.88,29.84,24.93,20.9,NA,16.75,16.7,16.05,15.1,13.6,11.6,12.75,11.1,8.85,9.3,8.35,7.32,6.59,5.01,4.45,4.32,3.7,3.1,2.33,2.05,1.63,1.3,1,0.75,0.59,0.4,0.28,0.23,0.17,0.11,0.08,0.07,0.05,0.05,0.08,0.03,NA,0.04,NA,0.01,0.01,0.02,0.01,0.01,0.01,2023-08-28
