"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"GOOG230915P00045000","REGULAR","USD",2023-09-15,45,0.01,0,0,0,0.07,200,2696,2023-06-08 09:49:19,3.2343769140625,FALSE
"GOOG230915P00050000","REGULAR","USD",2023-09-15,50,0.01,0,0,0,0.51,101,1658,2023-06-27 12:21:09,3.75781310546875,FALSE
"GOOG230915P00052000","REGULAR","USD",2023-09-15,52,0.04,0,0,0,0.9,2,4369,2023-05-11 10:27:39,3.96093759765625,FALSE
"GOOG230915P00053000","REGULAR","USD",2023-09-15,53,0.04,0,0,0,2.13,2,4124,2023-05-11 10:27:53,4.57031678710938,FALSE
"GOOG230915P00054000","REGULAR","USD",2023-09-15,54,0.05,0,0,0,2.13,1,909,2023-05-11 10:28:05,4.48926220092773,FALSE
"GOOG230915P00055000","REGULAR","USD",2023-09-15,55,0.01,0,0,0,0.75,10,1886,2023-07-28 12:59:32,3.63671965820313,FALSE
"GOOG230915P00056000","REGULAR","USD",2023-09-15,56,0.02,0,0,0,0.51,10,3037,2023-06-14 12:38:05,3.36328284179687,FALSE
"GOOG230915P00057000","REGULAR","USD",2023-09-15,57,0.01,0,0,0,0.01,1,1674,2023-07-11 10:22:50,2.1250046875,FALSE
"GOOG230915P00057500","REGULAR","USD",2023-09-15,57.5,0.01,0,0,0,0.01,175,575,2023-07-11 10:23:26,2.1250046875,FALSE
"GOOG230915P00058000","REGULAR","USD",2023-09-15,58,0.02,0,0,0,0.51,24,418,2023-06-14 13:11:21,3.24218939453125,FALSE
"GOOG230915P00059000","REGULAR","USD",2023-09-15,59,0.01,0,0,0,0.1,1,377,2023-07-14 10:55:49,2.5781285546875,FALSE
"GOOG230915P00060000","REGULAR","USD",2023-09-15,60,0.01,0,0,0,0.01,1,789,2023-08-08 10:03:55,2.06250484375,FALSE
"GOOG230915P00061000","REGULAR","USD",2023-09-15,61,0.01,0,0,0,0.1,2,479,2023-07-14 11:03:19,2.4843787890625,FALSE
"GOOG230915P00062000","REGULAR","USD",2023-09-15,62,0.01,0,0,0,0.75,10,854,2023-08-03 11:59:29,3.20117387207031,FALSE
